Alphicans,Yoshi/Ivysaur/Mario/Fox/Squirtle
Sleak,Kirby
FalseFalco,Ike
Subzero King,Doc
Bread,Ganondorf/Sheik
Crusayer,Metaknight
Zigzagoon,Ivysaur
Victra,Dedede/Peach/Falcon
KillLock,Marth
Quaff,Pit
Klash,Doc/DK
Face,Falcon/Ganondorf
After Dawn,Random
Limeee,Yoshi
AozoraX,Peach
lee,Olimar
Bernard,Samus
Dragonz,Fox/Sheik
Mach5,Falcon
Stutterfoot,Link
Stevo,DK
Tags,Jigglypuff
Yardsale,Dedede/Peach/Yoshi
Frio,Pikachu/Olimar
Vinny P,IceClimbers/ZSS
Hub,Charizard/Squirtle
HongKongDisco,Lucario
Odds,Ivysaur/Falco
Taste,Charizard
CSH,GigaBowser
Aletheia,Peach
Yolo Ali,Samus
TBLOCK,Lucas/Bowser/PT/MasterHand
Midnight Maveric,Kirby/Olimar/IceClimbers/Yoshi
Sraigux,Rob/Falco
Rts Victa,Falco
Kuraudo,Charizard/Roy/Mewtwo
TheGroose,Lucas
DMA,Mewtwo/GW
Lilseph,Marth
D-link,Diddy/Kirby/Pikachu
Comet,Ness
BlueZone,Luigi/Falcon
Lon,Snake/Sonic
Mute,ToonLink/Sonic
Henry,badvalue
c-lusion,Doc
